user_id,final_page,date,device,sex
313593,home_page,2015-02-26,Desktop,Female
468315,home_page,2015-02-21,Desktop,Male
264005,home_page,2015-03-25,Desktop,Female
290784,home_page,2015-03-14,Desktop,Male
639104,search_page,2015-01-03,Desktop,Female
262889,home_page,2015-01-10,Mobile,Male
708793,home_page,2015-04-24,Mobile,Female
943143,search_page,2015-04-10,Desktop,Male
417894,home_page,2015-04-02,Mobile,Female
729374,search_page,2015-04-12,Desktop,Male
188061,home_page,2015-03-28,Mobile,Female
899940,home_page,2015-01-10,Desktop,Male
351103,home_page,2015-04-30,Mobile,Male
361882,home_page,2015-03-04,Mobile,Male
899516,home_page,2015-04-20,Desktop,Male
99215,search_page,2015-02-04,Mobile,Female
594691,search_page,2015-03-31,Desktop,Male
432943,search_page,2015-01-22,Mobile,Male
364893,home_page,2015-04-27,Mobile,Male
654707,home_page,2015-01-23,Desktop,Male
272192,search_page,2015-02-03,Mobile,Female
396024,home_page,2015-03-24,Desktop,Male
369723,search_page,2015-02-24,Desktop,Male
438763,home_page,2015-01-07,Desktop,Male
223223,payment_page,2015-02-23,Desktop,Female
140078,home_page,2015-04-27,Mobile,Female
96742,search_page,2015-04-05,Desktop,Male
74432,home_page,2015-02-17,Desktop,Male
819741,home_page,2015-04-14,Desktop,Female
664153,search_page,2015-03-02,Desktop,Male
353199,search_page,2015-04-28,Desktop,Male
803413,home_page,2015-03-31,Desktop,Female
299241,search_page,2015-04-14,Desktop,Male
414083,home_page,2015-01-22,Desktop,Male
68581,search_page,2015-01-24,Desktop,Female
643983,home_page,2015-04-27,Mobile,Male
615303,search_page,2015-02-10,Desktop,Female
895952,home_page,2015-03-29,Mobile,Female
383884,search_page,2015-02-05,Desktop,Male
355842,search_page,2015-01-27,Desktop,Female
365579,search_page,2015-04-12,Mobile,Female
208754,search_page,2015-01-12,Mobile,Female
508281,home_page,2015-04-11,Mobile,Female
329346,search_page,2015-02-21,Desktop,Female
580506,search_page,2015-01-12,Desktop,Male
820301,home_page,2015-02-07,Desktop,Female
80844,home_page,2015-04-02,Desktop,Female
190867,search_page,2015-01-16,Mobile,Female
564948,search_page,2015-04-07,Desktop,Female
226243,search_page,2015-02-06,Mobile,Male
404071,home_page,2015-04-28,Desktop,Male
366921,home_page,2015-04-30,Desktop,Male
477314,home_page,2015-04-09,Mobile,Female
345346,search_page,2015-02-19,Mobile,Male
514680,search_page,2015-01-29,Desktop,Male
173171,home_page,2015-03-02,Mobile,Male
206165,search_page,2015-04-14,Desktop,Male
107159,search_page,2015-03-07,Desktop,Male
552933,home_page,2015-01-06,Desktop,Male
337677,home_page,2015-01-23,Desktop,Male
107581,search_page,2015-04-06,Desktop,Female
586375,home_page,2015-02-24,Desktop,Female
182469,payment_page,2015-01-17,Desktop,Male
596679,home_page,2015-04-10,Mobile,Female
423571,home_page,2015-01-19,Desktop,Male
454861,search_page,2015-02-15,Desktop,Male
697377,home_page,2015-02-11,Desktop,Male
417880,search_page,2015-03-05,Desktop,Male
638007,home_page,2015-03-15,Desktop,Female
593802,search_page,2015-01-18,Mobile,Male
888302,search_page,2015-02-22,Desktop,Male
879674,home_page,2015-04-07,Mobile,Male
327144,home_page,2015-02-09,Desktop,Male
274834,home_page,2015-04-23,Desktop,Male
545840,home_page,2015-03-17,Mobile,Female
842332,home_page,2015-04-14,Mobile,Male
406652,home_page,2015-03-10,Mobile,Male
117204,search_page,2015-02-08,Mobile,Female
461561,payment_page,2015-02-24,Mobile,Female
318329,home_page,2015-02-14,Desktop,Female
433567,search_page,2015-02-20,Desktop,Female
393376,search_page,2015-03-03,Desktop,Female
161474,home_page,2015-04-10,Mobile,Male
29581,search_page,2015-01-26,Mobile,Male
667530,home_page,2015-02-02,Mobile,Female
632098,search_page,2015-02-03,Mobile,Male
835812,search_page,2015-01-22,Desktop,Female
841940,search_page,2015-04-07,Mobile,Female
529948,payment_page,2015-02-11,Desktop,Male
845560,home_page,2015-02-01,Desktop,Female
381578,home_page,2015-04-15,Mobile,Female
771567,home_page,2015-03-16,Desktop,Male
45782,search_page,2015-02-14,Desktop,Female
546823,home_page,2015-01-31,Desktop,Male
671929,home_page,2015-03-15,Mobile,Female
861646,home_page,2015-04-02,Desktop,Male
520776,home_page,2015-04-04,Mobile,Male
841721,search_page,2015-04-19,Mobile,Female
589849,home_page,2015-04-18,Mobile,Female
35264,payment_page,2015-02-19,Mobile,Male
646808,search_page,2015-01-31,Desktop,Male
453460,search_page,2015-03-30,Desktop,Female
344542,home_page,2015-02-10,Desktop,Male
553966,search_page,2015-02-24,Mobile,Male
912921,home_page,2015-04-15,Desktop,Male
716447,payment_page,2015-02-27,Desktop,Male
779803,home_page,2015-01-06,Desktop,Female
586427,home_page,2015-04-12,Desktop,Female
137806,home_page,2015-02-21,Desktop,Female
393848,home_page,2015-03-15,Desktop,Female
997458,home_page,2015-01-16,Desktop,Male
548671,home_page,2015-01-01,Desktop,Female
605324,search_page,2015-04-07,Desktop,Female
351098,home_page,2015-04-15,Mobile,Male
215608,search_page,2015-02-25,Mobile,Male
472121,search_page,2015-03-11,Desktop,Male
506418,home_page,2015-04-14,Desktop,Female
572175,search_page,2015-01-05,Mobile,Male
713360,home_page,2015-03-28,Desktop,Female
395035,home_page,2015-03-11,Mobile,Male
53032,payment_page,2015-01-31,Desktop,Male
370718,search_page,2015-02-17,Mobile,Female
332102,home_page,2015-01-25,Desktop,Male
903245,home_page,2015-04-17,Desktop,Female
21108,search_page,2015-03-06,Desktop,Female
652419,home_page,2015-04-14,Desktop,Female
906743,search_page,2015-01-31,Desktop,Male
436752,search_page,2015-02-09,Desktop,Male
702371,search_page,2015-04-10,Desktop,Male
464369,home_page,2015-02-21,Desktop,Male
623110,search_page,2015-01-02,Mobile,Female
424267,search_page,2015-04-14,Desktop,Female
511454,home_page,2015-04-27,Mobile,Female
317627,home_page,2015-04-17,Desktop,Female
66313,search_page,2015-02-09,Mobile,Male
405128,search_page,2015-03-24,Desktop,Male
238577,search_page,2015-03-30,Desktop,Male
642212,home_page,2015-02-24,Desktop,Male
669784,payment_page,2015-02-28,Desktop,Female
684704,home_page,2015-01-01,Desktop,Male
730954,search_page,2015-01-10,Mobile,Male
350569,home_page,2015-03-30,Mobile,Female
920853,payment_page,2015-03-07,Desktop,Male
222481,home_page,2015-04-04,Mobile,Male
202675,search_page,2015-01-21,Mobile,Male
581961,home_page,2015-04-25,Mobile,Male
735095,search_page,2015-03-20,Mobile,Male
125607,home_page,2015-02-18,Desktop,Male
202266,search_page,2015-04-13,Desktop,Male
517368,search_page,2015-04-03,Desktop,Female
309254,search_page,2015-02-23,Desktop,Female
998450,payment_confirmation_page,2015-02-23,Desktop,Female
549435,search_page,2015-01-24,Desktop,Female
414013,search_page,2015-03-11,Mobile,Male
736197,home_page,2015-01-13,Desktop,Female
379577,search_page,2015-03-08,Desktop,Female
1586,home_page,2015-03-18,Mobile,Female
625061,payment_page,2015-02-20,Mobile,Male
578880,home_page,2015-02-02,Desktop,Male
779589,search_page,2015-02-21,Desktop,Female
99940,search_page,2015-01-02,Desktop,Male
608740,home_page,2015-04-20,Mobile,Female
876721,payment_confirmation_page,2015-02-03,Desktop,Male
136478,search_page,2015-04-24,Desktop,Female
575383,home_page,2015-04-08,Desktop,Female
752705,search_page,2015-04-07,Desktop,Male
651503,home_page,2015-03-29,Mobile,Female
217866,payment_page,2015-01-09,Desktop,Male
296986,home_page,2015-04-07,Desktop,Female
471093,search_page,2015-04-26,Desktop,Female
754487,home_page,2015-02-14,Desktop,Male
929422,home_page,2015-04-22,Mobile,Female
298013,search_page,2015-03-14,Desktop,Male
38522,payment_confirmation_page,2015-02-19,Mobile,Female
881323,home_page,2015-03-17,Desktop,Male
172420,search_page,2015-02-12,Mobile,Female
794567,home_page,2015-01-17,Desktop,Male
698192,home_page,2015-02-19,Desktop,Male
809072,home_page,2015-01-27,Mobile,Male
33233,home_page,2015-02-24,Mobile,Female
925601,home_page,2015-02-03,Desktop,Male
600190,home_page,2015-02-02,Desktop,Female
794468,search_page,2015-03-28,Desktop,Male
829635,home_page,2015-03-26,Mobile,Female
841535,search_page,2015-02-01,Mobile,Male
415015,search_page,2015-04-07,Desktop,Male
777237,search_page,2015-04-13,Desktop,Male
758664,home_page,2015-01-29,Desktop,Male
556344,home_page,2015-03-03,Desktop,Male
544066,home_page,2015-02-26,Desktop,Male
650979,search_page,2015-02-03,Desktop,Female
35939,home_page,2015-03-14,Mobile,Female
672556,search_page,2015-04-11,Desktop,Female
554620,search_page,2015-01-07,Mobile,Male
600560,home_page,2015-04-23,Mobile,Male
746190,search_page,2015-04-29,Desktop,Female
388225,search_page,2015-02-01,Mobile,Female
463436,home_page,2015-04-21,Mobile,Female
486875,payment_page,2015-01-15,Desktop,Female
346538,search_page,2015-01-06,Desktop,Male
787911,home_page,2015-01-14,Desktop,Female
246019,payment_page,2015-01-22,Mobile,Female
402303,search_page,2015-04-15,Desktop,Female
159517,search_page,2015-03-25,Desktop,Male
247103,home_page,2015-03-22,Desktop,Female
